"tconst","primaryTitle","releaseYear","isAdult","runtimeMinutes","genres","worldwideSalesDollars","averageRating","numVotes","directors","writers","mainCast"
"tt0058385","My Fair Lady",1964,0,170,"Drama,Family,Musical",NA,7.8,93727,"nm0002030","nm0503585,nm0789737","nm0000030, nm0001322, nm0391361, nm0405035"
"tt0058461","A Fistful of Dollars",1964,0,99,"Action,Drama,Western",NA,7.9,212159,"nm0001466","nm0093501,nm8800791,nm0146033,nm0001466,nm0173549,nm0000041,nm0223964,nm0452878,nm0856319,nm0884547","nm0000142, nm0002231, nm0462367, nm0525742"
"tt0058946","The Battle of Algiers",1966,0,121,"Drama,War",NA,8.1,58673,"nm0690597","nm0758357,nm0690597","nm0352835, nm0552483, nm0754272, nm0449197"
"tt0059113","Doctor Zhivago",1965,0,197,"Drama,Romance,War",NA,8,75338,"nm0000180","nm0664985,nm0004122","nm0001725, nm0001046, nm0001036, nm0001768"
"tt0059578","For a Few Dollars More",1965,0,132,"Western",NA,8.3,250125,"nm0001466","nm0001466,nm0607694,nm0898812,nm0006872,nm0217258,nm0223964","nm0000142, nm0001812, nm0002231, nm0472756"
"tt0059646","Repulsion",1965,0,105,"Drama,Horror,Thriller",NA,7.6,52380,"nm0000591","nm0000591,nm0102722,nm0831816","nm0000366, nm0376915, nm0292159, nm0299014"
"tt0059742","The Sound of Music",1965,0,172,"Biography,Drama,Family",NA,8.1,223964,"nm0936404","nm0403346,nm0512231,nm0189496,nm0499626,nm0903125","nm0000267, nm0001626, nm0662223, nm0370821"
"tt0059800","Thunderball",1965,0,130,"Action,Adventure,Thriller",NA,6.9,115422,"nm0950109","nm0537363,nm0394200,nm0926525,nm0565886,nm0001220","nm0000125, nm0000805, nm0148041, nm0658885"
"tt0060107","Andrei Rublev",1966,0,205,"Biography,Drama,History",NA,8.1,52628,"nm0001789","nm0464846,nm0001789","nm0813463, nm0487553, nm0342458, nm0785108"
"tt0060176","Blow-Up",1966,0,111,"Drama,Mystery,Thriller",NA,7.5,60755,"nm0000774","nm0000774,nm0181497,nm0346096,nm0093927","nm0376101, nm0000603, nm0587234, nm0145284"
"tt0060196","The Good, the Bad and the Ugly",1966,0,161,"Adventure,Western",NA,8.8,738280,"nm0001466","nm0898812,nm0001466,nm0408488,nm0769249","nm0000142, nm0908919, nm0001812, nm0321294"
"tt0060827","Persona",1966,0,85,"Drama,Thriller",NA,8.1,114705,"nm0000005","nm0000005","nm0000761, nm0880521, nm0472234, nm0085038"
"tt0061184","Who's Afraid of Virginia Woolf?",1966,0,131,"Drama",NA,8,74038,"nm0001566","nm0499626,nm0016361","nm0000072, nm0000009, nm0001719, nm0006800"
"tt0061418","Bonnie and Clyde",1967,0,111,"Action,Biography,Crime",NA,7.8,110510,"nm0671957","nm0628058,nm0000914,nm0001801","nm0000886, nm0001159, nm0689488, nm0000432"
"tt0061512","Cool Hand Luke",1967,0,127,"Crime,Drama",NA,8.1,173738,"nm0742341","nm0668914,nm0682757,nm0237543","nm0000056, nm0001421, nm0001510, nm0134201"
"tt0061578","The Dirty Dozen",1967,0,150,"Action,Adventure,War",NA,7.7,71615,"nm0000736","nm0425913,nm0375355,nm0622284","nm0001511, nm0000308, nm0000314, nm0001023"
"tt0061722","The Graduate",1967,0,106,"Comedy,Drama,Romance",NA,8,268113,"nm0001566","nm0932229,nm0377750,nm0916047","nm0000163, nm0000843, nm0001684, nm0200122"
"tt0061811","In the Heat of the Night",1967,0,110,"Drama,Mystery,Thriller",NA,8,74630,"nm0422484","nm0798103,nm0050398","nm0001627, nm0001768, nm0643105, nm0335519"
"tt0061852","The Jungle Book",1967,0,78,"Adventure,Animation,Comedy",NA,7.6,177606,"nm0718627","nm0166307,nm0942723,nm0027011,nm0314788,nm0456017,nm0670328","nm0365201, nm0001982, nm0697515, nm0718624"
"tt0062229","Le Samouraï",1967,0,105,"Crime,Drama",NA,8,50120,"nm0578483","nm0572819,nm0578483,nm0670958","nm0001128, nm0673749, nm0217677, nm0742975"
"tt0062512","You Only Live Twice",1967,0,117,"Action,Adventure,Thriller",NA,6.8,106868,"nm0318150","nm0089169,nm0001094,nm0001220,nm0420845","nm0000125, nm0906686, nm0357240, nm0848533"
"tt0062622","2001: A Space Odyssey",1968,0,149,"Adventure,Sci-Fi",NA,8.3,647632,"nm0000040","nm0000040,nm0002009","nm0001158, nm0516972, nm0843213, nm0725220"
"tt0062765","Bullitt",1968,0,114,"Action,Crime,Thriller",NA,7.4,67560,"nm0946811","nm0874450,nm0459067,nm0279302","nm0000537, nm0000302, nm0001816, nm0330150"
"tt0063350","Night of the Living Dead",1968,0,96,"Horror,Thriller",NA,7.8,125251,"nm0001681","nm0751652,nm0001681","nm0774736, nm0427977, nm0640621, nm0362457, nm0247659, nm0915593, nm0725985"
"tt0063442","Planet of the Apes",1968,0,112,"Adventure,Sci-Fi",NA,8,176311,"nm0769874","nm0933858,nm0785245,nm0099541,nm0445934","nm0000032, nm0001522, nm0001375, nm0263052"
"tt0063462","The Producers",1967,0,88,"Comedy,Music",NA,7.5,55166,"nm0000316","nm0000316","nm0609216, nm0000698, nm0790071, nm0550318"
"tt0063522","Rosemary's Baby",1968,0,137,"Drama,Horror",NA,8,209422,"nm0000591","nm0505615,nm0000591","nm0001201, nm0001023, nm0002106, nm0085782"
"tt0064115","Butch Cassidy and the Sundance Kid",1969,0,110,"Biography,Crime,Drama",NA,8,212401,"nm0001351","nm0001279","nm0000056, nm0000602, nm0001684, nm0001510"
"tt0064116","Once Upon a Time in the West",1968,0,165,"Western",NA,8.5,321812,"nm0001466","nm0006872,nm0001466,nm0000783,nm0000934","nm0000020, nm0000314, nm0001012, nm0001673"
"tt0064276","Easy Rider",1969,0,95,"Adventure,Drama",NA,7.3,108142,"nm0000454","nm0001228,nm0000454,nm0816143","nm0001228, nm0000454, nm0000197, nm0579234"
"tt0064665","Midnight Cowboy",1969,0,113,"Drama",NA,7.8,108989,"nm0772259","nm0759029,nm0379052","nm0000163, nm0000685, nm0587249, nm0569410"
"tt0064757","On Her Majesty's Secret Service",1969,0,142,"Action,Adventure,Thriller",NA,6.8,89309,"nm0402597","nm0712362,nm0537363,nm0001220","nm0493872, nm0001671, nm0001699, nm0275213"
"tt0065207","Where Eagles Dare",1968,0,158,"Action,Adventure,War",NA,7.6,57198,"nm0404606","nm0533745","nm0000009, nm0000142, nm0881829, nm0943859"
"tt0065214","The Wild Bunch",1969,0,145,"Action,Adventure,Western",NA,7.9,83235,"nm0001603","nm0338396,nm0001603,nm0796429","nm0000034, nm0000308, nm0752813, nm0639529"
"tt0065421","The Aristocats",1970,0,78,"Adventure,Animation,Comedy",NA,7.1,101499,"nm0718627","nm0166307,nm0314788,nm0027011,nm0858826,nm0166551,nm0841035,nm0942723,nm0569712,nm1318202","nm0365201, nm0001247, nm0001359, nm0001079"
"tt0066026","MASH",1970,0,116,"Comedy,Drama,War",NA,7.4,71866,"nm0000265","nm0393645,nm0488057","nm0000661, nm0001285, nm0000643, nm0001419"
"tt0066026","MASH",1970,0,116,"Comedy,Drama,War",81600000,7.4,71866,"nm0000265","nm0393645,nm0488057","nm0000661, nm0001285, nm0000643, nm0001419"
"tt0066206","Patton",1970,0,172,"Biography,Drama,War",NA,8,100614,"nm0769874","nm0000338,nm0636002,nm0267018,nm0103357","nm0001715, nm0001500, nm0950079, nm0835021"
"tt0066434","THX 1138",1971,0,86,"Drama,Sci-Fi,Thriller",NA,6.7,50881,"nm0000184","nm0000184,nm0004555","nm0000380, nm0000587, nm0171824, nm0574114"
"tt0069704","American Graffiti",1973,0,110,"Comedy,Drama",NA,7.4,87932,"nm0000184","nm0000184,nm0441718,nm0404754","nm0000377, nm0000165, nm0494432, nm0001747"
"tt0069762","Badlands",1973,0,94,"Action,Crime,Drama",NA,7.8,71582,"nm0000517","nm0000517","nm0000640, nm0000651, nm0643105, nm0081560"
"tt0069995","Don't Look Now",1973,0,110,"Drama,Horror,Mystery",NA,7.2,54684,"nm0001676","nm0238898,nm0778819,nm0117068","nm0001046, nm0000661, nm0556739, nm0558089"
"tt0070034","Enter the Dragon",1973,0,102,"Action,Crime,Drama",NA,7.6,102820,"nm0167195","nm0021363,nm0000045","nm0000045, nm0768334, nm0446485, nm0135622"
