"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt0115964",1996,"Drama",6.4,58069,"nm0000343","nm0050618,nm0000343","unpopular"
"tt1155076",2010,"Action,Drama,Family",6.2,177264,"nm0958969","nm0614050,nm0436543","popular"
"tt2461150",2016,"Biography,Comedy,Crime",5.8,54767,"nm0381478","nm0101302,nm1376062,nm0819225","unpopular"
"tt1297919",2011,"Action,Crime,Thriller",6.2,86248,"nm1714255","nm2914162,nm2012698","unpopular"
"tt1001508",2009,"Comedy,Drama,Romance",6.4,169947,"nm0477129","nm0463359,nm0799050,nm1021163,nm0875710","popular"
"tt0454876",2012,"Adventure,Drama,Fantasy",7.9,613849,"nm0000487","nm1674631,nm1341735","popular"
"tt0478311",2007,"Comedy,Romance",7,364472,"nm0031976","nm0031976","popular"
"tt0118998",1998,"Comedy,Family,Fantasy",5.4,96206,"nm0858525","nm0517452,nm0560894,nm0505648","popular"
"tt0441773",2008,"Action,Adventure,Animation",7.6,452360,"nm0651706,nm0828970","nm0008743,nm0074184,nm0717550,nm0903456,nm1938852","popular"
"tt0200465",2008,"Crime,Drama,Thriller",7.2,179659,"nm0002044","nm0166074,nm0478588","unpopular"
"tt2229499",2013,"Comedy,Drama,Romance",6.6,237332,"nm0330687","nm0330687","unpopular"
"tt0412019",2005,"Comedy,Drama,Mystery",7.2,102054,"nm0000464","nm0000464,nm2260851,nm0238138","unpopular"
"tt0765443",2007,"Crime,Drama,Thriller",7.6,238955,"nm0000343","nm1140275","unpopular"
"tt1160419",2021,"Action,Adventure,Drama",8.1,524603,"nm0898288","nm3123612,nm0898288,nm0744839,nm0378541","popular"
"tt2402157",2014,"Action,Thriller",6.3,67271,"nm0002044","nm3360218,nm2244980,nm1952653","unpopular"
"tt0110322",1994,"Drama,Romance,War",7.5,161166,"nm0001880","nm0793463,nm0937074,nm0365659","unpopular"
"tt4901306",2016,"Comedy,Drama",7.7,63533,"nm0002645","nm3798121,nm0182499,nm0002645,nm2601560,nm0712330","unpopular"
"tt1033575",2011,"Comedy,Drama",7.3,239847,"nm0668247","nm0668247,nm0269542,nm0711110,nm2655611","popular"
"tt1068680",2008,"Comedy,Romance",6.8,354296,"nm0715636","nm0831557,nm0666871,nm2361949,nm0991245","popular"
